date,id,name,variable,value
2000-02-18T07:00:00Z,blm_billings_Billings District,Billings,EVI,1073.1583659244602
2000-02-18T07:00:00Z,blm_billings_Billings District,Billings,NDVI,1984.1640297346885
2000-02-18T07:00:00Z,blm_miles-city_Miles City District,Miles City,EVI,1040.0807804803762
2000-02-18T07:00:00Z,blm_miles-city_Miles City District,Miles City,NDVI,1962.0456454641856
2000-02-18T07:00:00Z,blm_malta_Malta District,Malta,EVI,1035.3961436747447
2000-02-18T07:00:00Z,blm_malta_Malta District,Malta,NDVI,1984.5442276770964
2000-02-18T07:00:00Z,blm_lewistown_Lewistown District,Lewistown,EVI,1135.9080622423132
2000-02-18T07:00:00Z,blm_lewistown_Lewistown District,Lewistown,NDVI,2162.2600041190185
2000-02-18T07:00:00Z,blm_missoula_Missoula District,Missoula,EVI,1580.7933735070494
2000-02-18T07:00:00Z,blm_missoula_Missoula District,Missoula,NDVI,3162.430995131408
2000-02-18T07:00:00Z,blm_butte_Butte District,Butte,EVI,1325.4994404496877
2000-02-18T07:00:00Z,blm_butte_Butte District,Butte,NDVI,2417.223399576659
2000-02-18T07:00:00Z,blm_dillon_Dillon District,Dillon,EVI,1230.7760385255292
2000-02-18T07:00:00Z,blm_dillon_Dillon District,Dillon,NDVI,1927.3688750476308
2000-03-05T07:00:00Z,blm_billings_Billings District,Billings,EVI,1110.8653699198544
2000-03-05T07:00:00Z,blm_billings_Billings District,Billings,NDVI,2140.0957416091633
2000-03-05T07:00:00Z,blm_miles-city_Miles City District,Miles City,EVI,1091.6967964916994
2000-03-05T07:00:00Z,blm_miles-city_Miles City District,Miles City,NDVI,2026.1293896316329
2000-03-05T07:00:00Z,blm_malta_Malta District,Malta,EVI,1099.3510962536784
2000-03-05T07:00:00Z,blm_malta_Malta District,Malta,NDVI,2021.9924758764828
2000-03-05T07:00:00Z,blm_lewistown_Lewistown District,Lewistown,EVI,1204.097916272135
2000-03-05T07:00:00Z,blm_lewistown_Lewistown District,Lewistown,NDVI,2208.401729423678
2000-03-05T07:00:00Z,blm_missoula_Missoula District,Missoula,EVI,1912.0881427434144
2000-03-05T07:00:00Z,blm_missoula_Missoula District,Missoula,NDVI,3474.0487238530955
2000-03-05T07:00:00Z,blm_butte_Butte District,Butte,EVI,1303.326740318974
2000-03-05T07:00:00Z,blm_butte_Butte District,Butte,NDVI,2335.762451176695
2000-03-05T07:00:00Z,blm_dillon_Dillon District,Dillon,EVI,1199.8840007510062
2000-03-05T07:00:00Z,blm_dillon_Dillon District,Dillon,NDVI,1948.891373924183
2000-03-21T07:00:00Z,blm_billings_Billings District,Billings,EVI,1295.3578146533928
2000-03-21T07:00:00Z,blm_billings_Billings District,Billings,NDVI,2351.1494930889135
2000-03-21T07:00:00Z,blm_miles-city_Miles City District,Miles City,EVI,1241.8039508024283
2000-03-21T07:00:00Z,blm_miles-city_Miles City District,Miles City,NDVI,2216.665327019366
2000-03-21T07:00:00Z,blm_malta_Malta District,Malta,EVI,1187.2667445319964
2000-03-21T07:00:00Z,blm_malta_Malta District,Malta,NDVI,2044.2355100542725
2000-03-21T07:00:00Z,blm_lewistown_Lewistown District,Lewistown,EVI,1368.94939050787
