date,id,name,variable,value
2000-01-01T07:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,ET,NA
2000-01-01T07:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,PET,NA
2000-01-01T07:00:00Z,tribes_crow_Crow,Crow,ET,NA
2000-01-01T07:00:00Z,tribes_crow_Crow,Crow,PET,NA
2000-01-01T07:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,ET,NA
2000-01-01T07:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,PET,NA
2000-01-01T07:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,ET,NA
2000-01-01T07:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,PET,NA
2000-01-01T07:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,ET,NA
2000-01-01T07:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,PET,NA
2000-01-01T07:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,ET,NA
2000-01-01T07:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,PET,NA
2000-01-01T07:00:00Z,tribes_flathead_Flathead,Flathead,ET,NA
2000-01-01T07:00:00Z,tribes_flathead_Flathead,Flathead,PET,NA
2000-01-09T07:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,ET,NA
2000-01-09T07:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,PET,NA
2000-01-09T07:00:00Z,tribes_crow_Crow,Crow,ET,NA
2000-01-09T07:00:00Z,tribes_crow_Crow,Crow,PET,NA
2000-01-09T07:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,ET,NA
2000-01-09T07:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,PET,NA
2000-01-09T07:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,ET,NA
2000-01-09T07:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,PET,NA
2000-01-09T07:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,ET,NA
2000-01-09T07:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,PET,NA
2000-01-09T07:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,ET,NA
2000-01-09T07:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,PET,NA
2000-01-09T07:00:00Z,tribes_flathead_Flathead,Flathead,ET,NA
2000-01-09T07:00:00Z,tribes_flathead_Flathead,Flathead,PET,NA
2000-01-17T07:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,ET,NA
2000-01-17T07:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,PET,NA
2000-01-17T07:00:00Z,tribes_crow_Crow,Crow,ET,NA
2000-01-17T07:00:00Z,tribes_crow_Crow,Crow,PET,NA
2000-01-17T07:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,ET,NA
2000-01-17T07:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,PET,NA
2000-01-17T07:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,ET,NA
2000-01-17T07:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,PET,NA
2000-01-17T07:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,ET,NA
2000-01-17T07:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,PET,NA
2000-01-17T07:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,ET,NA
2000-01-17T07:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,PET,NA
2000-01-17T07:00:00Z,tribes_flathead_Flathead,Flathead,ET,NA
2000-01-17T07:00:00Z,tribes_flathead_Flathead,Flathead,PET,NA
