date,id,name,variable,value
2000-01-01T07:00:00Z,huc_10120202_Lower Belle Fourche Watershed,Lower Belle Fourche,mean,NA
2000-01-01T07:00:00Z,huc_10090208_Little Powder Watershed,Little Powder,mean,NA
2000-01-01T07:00:00Z,huc_10080014_Shoshone Watershed,Shoshone,mean,NA
2000-01-01T07:00:00Z,huc_10080010_Big Horn Lake Watershed,Big Horn Lake,mean,NA
2000-01-01T07:00:00Z,huc_10080015_Lower Bighorn Watershed,Lower Bighorn,mean,NA
2000-01-01T07:00:00Z,huc_10080016_Little Bighorn Watershed,Little Bighorn,mean,NA
2000-01-01T07:00:00Z,huc_10090101_Upper Tongue Watershed,Upper Tongue,mean,NA
2000-01-01T07:00:00Z,huc_10070006_Clarks Fork Yellowstone Watershed,Clarks Fork Yellowstone,mean,NA
2000-01-01T07:00:00Z,huc_10070008_Pryor Watershed,Pryor,mean,NA
2000-01-01T07:00:00Z,huc_10070004_Upper Yellowstone-Lake Basin Watershed,Upper Yellowstone-Lake Basin,mean,NA
2000-01-01T07:00:00Z,huc_10070007_Upper Yellowstone-Pompeys Pillar Watershed,Upper Yellowstone-Pompeys Pillar,mean,NA
2000-01-01T07:00:00Z,huc_10100003_Rosebud Watershed,Rosebud,mean,NA
2000-01-01T07:00:00Z,huc_10090102_Lower Tongue Watershed,Lower Tongue,mean,NA
2000-01-01T07:00:00Z,huc_10090209_Lower Powder Watershed,Lower Powder,mean,NA
2000-01-01T07:00:00Z,huc_10110202_Boxelder Watershed,Boxelder,mean,NA
2000-01-01T07:00:00Z,huc_10090210_Mizpah Watershed,Mizpah,mean,NA
2000-01-01T07:00:00Z,huc_10090207_Middle Powder Watershed,Middle Powder,mean,NA
2000-01-01T07:00:00Z,huc_10110201_Upper Little Missouri Watershed,Upper Little Missouri,mean,NA
2000-01-01T07:00:00Z,huc_10110204_Beaver Watershed,Beaver,mean,NA
2000-01-01T07:00:00Z,huc_10110203_Middle Little Missouri Watershed,Middle Little Missouri,mean,NA
2000-01-01T07:00:00Z,huc_10100005_O'Fallon Watershed,O'Fallon,mean,NA
2000-01-01T07:00:00Z,huc_10100004_Lower Yellowstone Watershed,Lower Yellowstone,mean,NA
2000-01-01T07:00:00Z,huc_10060002_Redwater Watershed,Redwater,mean,NA
2000-01-01T07:00:00Z,huc_10060007_Brush Lake Closed Basin Watershed,Brush Lake Closed Basin,mean,NA
2000-01-01T07:00:00Z,huc_10060006_Big Muddy Watershed,Big Muddy,mean,NA
2000-01-01T07:00:00Z,huc_10060004_West Fork Poplar Watershed,West Fork Poplar,mean,NA
2000-01-01T07:00:00Z,huc_10060003_Poplar Watershed,Poplar,mean,NA
2000-01-01T07:00:00Z,huc_10060001_Prairie Elk-Wolf Watershed,Prairie Elk-Wolf,mean,NA
2000-01-01T07:00:00Z,huc_10060005_Charlie-Little Muddy Watershed,Charlie-Little Muddy,mean,NA
2000-01-01T07:00:00Z,huc_10050012_Lower Milk Watershed,Lower Milk,mean,NA
2000-01-01T07:00:00Z,huc_10050016_Porcupine Watershed,Porcupine,mean,NA
2000-01-01T07:00:00Z,huc_10050015_Rock Watershed,Rock,mean,NA
2000-01-01T07:00:00Z,huc_10050013_Frenchman Watershed,Frenchman,mean,NA
2000-01-01T07:00:00Z,huc_10050004_Middle Milk Watershed,Middle Milk,mean,NA
2000-01-01T07:00:00Z,huc_10050011_Whitewater Watershed,Whitewater,mean,NA
2000-01-01T07:00:00Z,huc_10050010_Cottonwood Watershed,Cottonwood,mean,NA
2000-01-01T07:00:00Z,huc_10050007_Lodge Watershed,Lodge,mean,NA
2000-01-01T07:00:00Z,huc_10050008_Battle Watershed,Battle,mean,NA
2000-01-01T07:00:00Z,huc_10050009_Peoples Watershed,Peoples,mean,NA
2000-01-01T07:00:00Z,huc_10050014_Beaver Watershed,Beaver,mean,NA
2000-01-01T07:00:00Z,huc_10040204_Box Elder Watershed,Box Elder,mean,NA
2000-01-01T07:00:00Z,huc_10040205_Lower Musselshell Watershed,Lower Musselshell,mean,NA
2000-01-01T07:00:00Z,huc_10040104_Fort Peck Reservoir Watershed,Fort Peck Reservoir,mean,NA
