date,id,name,variable,value
2002-07-04T06:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,EVI,2376.8563530274373
2002-07-04T06:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,NDVI,3967.887521318764
2002-07-04T06:00:00Z,tribes_crow_Crow,Crow,EVI,2388.6731124906237
2002-07-04T06:00:00Z,tribes_crow_Crow,Crow,NDVI,3962.3793463045213
2002-07-04T06:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,EVI,3306.202372329139
2002-07-04T06:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,NDVI,5211.195341431391
2002-07-04T06:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,EVI,2799.0952827673104
2002-07-04T06:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,NDVI,4633.235462231068
2002-07-04T06:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,EVI,4000.2764585130994
2002-07-04T06:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,NDVI,6285.391832696891
2002-07-04T06:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,EVI,3343.6499396901527
2002-07-04T06:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,NDVI,5291.091547383868
2002-07-04T06:00:00Z,tribes_flathead_Flathead,Flathead,EVI,3226.436033076327
2002-07-04T06:00:00Z,tribes_flathead_Flathead,Flathead,NDVI,6108.609396004928
2002-07-20T06:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,EVI,2180.7979119594615
2002-07-20T06:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,NDVI,4042.3842298813856
2002-07-20T06:00:00Z,tribes_crow_Crow,Crow,EVI,2070.67797514539
2002-07-20T06:00:00Z,tribes_crow_Crow,Crow,NDVI,3666.9064146748
2002-07-20T06:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,EVI,2733.796364667933
2002-07-20T06:00:00Z,tribes_fort-peck_Fort Peck,Fort Peck,NDVI,4582.731597691525
2002-07-20T06:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,EVI,2364.015776849378
2002-07-20T06:00:00Z,tribes_fort-belknap_Fort Belknap,Fort Belknap,NDVI,3881.7397330780186
2002-07-20T06:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,EVI,3811.744744102048
2002-07-20T06:00:00Z,tribes_rocky-boys_Rocky Boy's,Rocky Boy's,NDVI,5784.226047766394
2002-07-20T06:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,EVI,3445.484449511114
2002-07-20T06:00:00Z,tribes_blackfeet_Blackfeet,Blackfeet,NDVI,5134.926713593136
2002-07-20T06:00:00Z,tribes_flathead_Flathead,Flathead,EVI,3219.5526162418687
2002-07-20T06:00:00Z,tribes_flathead_Flathead,Flathead,NDVI,5536.985446508748
2002-08-05T06:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,EVI,1996.4318656568935
2002-08-05T06:00:00Z,tribes_northern-cheyenne_Northern Cheyenne,Northern Cheyenne,NDVI,3973.430118414551
